year,std_name,user_id,user_centroid_lat,user_centroid_lon,user_area,user_cropland,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,cvp_pctallo,cvp_pctallo_ag,cvp_pctallo_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,rights_pod_latitude,rights_pod_longitude,rights_min_year,rights_max_year,rights_mean_year,rights_med_year,rights_diversion_ag,rights_diversion_mi
2015,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2016,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2017,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2018,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2019,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,.5,.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,.5,.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2021,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2022,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2023,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2024,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2025,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1981,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1982,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1983,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1984,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1985,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1986,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1987,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1988,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1989,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1990,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1991,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1992,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1993,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1533,1533,0,1533,1533,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1533,1533,0,1533,1533,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1994,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1698,1698,0,1698,1698,0,5700,5700,0,.34999999,.34999999,,0,0,0,0,0,0,0,0,0,0,0,1698,1698,0,1698,1698,0,5700,5700,0,.34999999,.34999999,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1995,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1915,1915,0,1915,1915,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1915,1915,0,1915,1915,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1996,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2238,2238,0,2238,2238,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,2238,2238,0,2238,2238,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1997,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2397,2397,0,2397,2397,0,5700,5700,0,.89999998,.89999998,,0,0,0,0,0,0,0,0,0,0,0,2397,2397,0,2397,2397,0,5700,5700,0,.89999998,.89999998,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1998,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1681,1681,0,1681,1681,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1681,1681,0,1681,1681,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1999,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2281,2281,0,2288,2288,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,2281,2281,0,2288,2288,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2000,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2287,2287,0,2280,2280,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,2287,2287,0,2280,2280,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2001,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2371,2371,0,2372,2372,0,5700,5700,0,.60000002,.60000002,,0,0,0,0,0,0,0,0,0,0,0,2371,2371,0,2372,2372,0,5700,5700,0,.60000002,.60000002,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2002,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2335,2335,0,2337,2337,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,2335,2335,0,2337,2337,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2003,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1558,1558,0,1556,1556,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1558,1558,0,1556,1556,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2004,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2188,2188,0,2187,2187,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,2188,2188,0,2187,2187,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2005,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1548,1548,0,1554,1554,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1548,1548,0,1554,1554,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2006,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1945,1945,0,1950,1950,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1945,1945,0,1950,1950,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2007,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,3106,3106,0,3095,3095,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,3106,3106,0,3095,3095,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2008,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2263,2263,0,2300,2300,0,5700,5700,0,.40000001,.40000001,,0,0,0,0,0,0,0,0,0,0,0,2263,2263,0,2300,2300,0,5700,5700,0,.40000001,.40000001,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2009,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1787,1787,0,1750,1750,0,5700,5700,0,.40000001,.40000001,,0,0,0,0,0,0,0,0,0,0,0,1787,1787,0,1750,1750,0,5700,5700,0,.40000001,.40000001,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2010,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2179,2179,0,2186,2186,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,2179,2179,0,2186,2186,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2011,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1784,1784,0,1817,1817,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1784,1784,0,1817,1817,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2012,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1692,1692,0,1652,1652,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1692,1692,0,1652,1652,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2013,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2515,2515,0,2614,2614,0,5700,5700,0,.75,.75,,0,0,0,0,0,0,0,0,0,0,0,2515,2515,0,2614,2614,0,5700,5700,0,.75,.75,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2014,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,952,952,0,856,856,0,5700,5700,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,952,952,0,856,856,0,5700,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2015,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,700,700,0,712,712,0,5700,5700,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,700,700,0,712,712,0,5700,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2016,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1056,1056,0,1041,1041,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1056,1056,0,1041,1041,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2017,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1778,1778,0,1912,1912,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1778,1778,0,1912,1912,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2018,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1520,1520,0,1386,1386,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1520,1520,0,1386,1386,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2019,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1690,1690,0,1939,1939,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1690,1690,0,1939,1939,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,2434,2434,0,2214,2214,0,5700,5700,0,.5,.5,,0,0,0,0,0,0,0,0,0,0,0,2434,2434,0,2214,2214,0,5700,5700,0,.5,.5,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2021,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1195,1195,0,1188,1188,0,5700,5700,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1195,1195,0,1188,1188,0,5700,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2022,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,553,553,0,531,531,0,5700,5700,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,553,553,0,531,531,0,5700,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2023,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1767,1767,0,1767,1767,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1767,1767,0,1767,1767,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2024,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,1810,1810,0,1810,1810,0,5700,5700,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1810,1810,0,1810,1810,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2025,4-M W.D.,3508,39.2158007326,-122.348630459,71.6770207206,20.35585631341133,,,,,,,,,,,,,,,,,,,,,,,,1596,1596,0,1596,1596,0,5700,5700,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1981,AGATE BAY W.C.,6300,39.2347976181,-120.073883601,1.37151320889,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,130,0,130,39.236034,-120.06721,1964,1964,1964,1964,,
1982,AGATE BAY W.C.,6300,39.2347976181,-120.073883601,1.37151320889,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,130,0,130,39.236034,-120.06721,1964,1964,1964,1964,,
1983,AGATE BAY W.C.,6300,39.2347976181,-120.073883601,1.37151320889,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,130,0,130,39.236034,-120.06721,1964,1964,1964,1964,,
1984,AGATE BAY W.C.,6300,39.2347976181,-120.073883601,1.37151320889,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,130,0,130,39.236034,-120.06721,1964,1964,1964,1964,,
1985,AGATE BAY W.C.,6300,39.2347976181,-120.073883601,1.37151320889,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,130,0,130,39.236034,-120.06721,1964,1964,1964,1964,,
