year,std_name,user_id,huc8,vol_deliv_cy,vol_deliv_wy,vol_maximum,swp_deliveries,swp_maxvol,swp_basemax,cvp_deliveries_cy,cvp_deliveries_wy,cvp_maxvol,loco_maxvol,loco_deliveries,rights_avgdivert,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum_ag,vol_maximum_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol_ag,swp_maxvol_mi,swp_basemax_ag,swp_basemax_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol_ag,cvp_maxvol_mi,cvp_pctallo,cvp_pctallo_ag,cvp_pctallo_mi,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert_ag,rights_avgdivert_mi,rights_pod_latitude,rights_pod_longitude,rights_min_year,rights_max_year,rights_mean_year,rights_med_year,rights_diversion_ag,rights_diversion_mi,user_centroid_lon,user_centroid_lat,user_area,huc8_area,huc8_pctcrop
1991,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1992,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1993,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1994,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,.34999999,.34999999,,,0,,0,,0,0,0,,0,,0,,0,.34999999,.34999999,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1995,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1996,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1997,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,.89999998,.89999998,,,0,,0,,0,0,0,,0,,0,,0,.89999998,.89999998,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1998,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1999,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2000,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2001,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,.60000002,.60000002,,,0,,0,,0,0,0,,0,,0,,0,.60000002,.60000002,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2002,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2003,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2004,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2005,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2006,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2007,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2008,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,.40000001,.40000001,,,0,,0,,0,0,0,,0,,0,,0,.40000001,.40000001,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2009,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,.40000001,.40000001,,,0,,0,,0,0,0,,0,,0,,0,.40000001,.40000001,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2010,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2011,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2012,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2013,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,.75,.75,,,0,,0,,0,0,0,,0,,0,,0,.75,.75,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2014,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,,0,,0,,0,0,0,,0,,0,,0,0,0,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2015,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,,0,,0,,0,0,0,,0,,0,,0,0,0,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2016,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2017,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2018,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2019,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2020,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,.5,.5,,,0,,0,,0,0,0,,0,,0,,0,.5,.5,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2021,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,,0,,0,,0,0,0,,0,,0,,0,0,0,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2022,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,,0,,0,,0,0,0,,0,,0,,0,0,0,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2023,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2024,4-E W.D.,3507,18020115,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,1,1,,,0,,0,,0,0,0,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
2025,4-E W.D.,3507,18020115,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,,0,,0,1,1,0,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1981,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1982,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1983,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1984,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1985,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1986,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1987,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1988,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1989,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1990,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1991,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1992,4-M W.D.,3508,18020104,,,,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1993,4-M W.D.,3508,18020104,1533,1533,5700,0,0,0,1533,1533,5700,0,0,0,1533,0,1533,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1533,0,1533,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1994,4-M W.D.,3508,18020104,1698,1698,5700,0,0,0,1698,1698,5700,0,0,0,1698,0,1698,0,5700,0,.34999999,.34999999,,0,0,0,0,0,0,0,0,1698,0,1698,0,5700,0,.34999999,.34999999,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1995,4-M W.D.,3508,18020104,1915,1915,5700,0,0,0,1915,1915,5700,0,0,0,1915,0,1915,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1915,0,1915,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1996,4-M W.D.,3508,18020104,2238,2238,5700,0,0,0,2238,2238,5700,0,0,0,2238,0,2238,0,5700,0,1,1,,0,0,0,0,0,0,0,0,2238,0,2238,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1997,4-M W.D.,3508,18020104,2397,2397,5700,0,0,0,2397,2397,5700,0,0,0,2397,0,2397,0,5700,0,.89999998,.89999998,,0,0,0,0,0,0,0,0,2397,0,2397,0,5700,0,.89999998,.89999998,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1998,4-M W.D.,3508,18020104,1681,1681,5700,0,0,0,1681,1681,5700,0,0,0,1681,0,1681,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1681,0,1681,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
1999,4-M W.D.,3508,18020104,2281,2288,5700,0,0,0,2281,2288,5700,0,0,0,2281,0,2288,0,5700,0,1,1,,0,0,0,0,0,0,0,0,2281,0,2288,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2000,4-M W.D.,3508,18020104,2287,2280,5700,0,0,0,2287,2280,5700,0,0,0,2287,0,2280,0,5700,0,1,1,,0,0,0,0,0,0,0,0,2287,0,2280,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2001,4-M W.D.,3508,18020104,2371,2372,5700,0,0,0,2371,2372,5700,0,0,0,2371,0,2372,0,5700,0,.60000002,.60000002,,0,0,0,0,0,0,0,0,2371,0,2372,0,5700,0,.60000002,.60000002,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2002,4-M W.D.,3508,18020104,2335,2337,5700,0,0,0,2335,2337,5700,0,0,0,2335,0,2337,0,5700,0,1,1,,0,0,0,0,0,0,0,0,2335,0,2337,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2003,4-M W.D.,3508,18020104,1558,1556,5700,0,0,0,1558,1556,5700,0,0,0,1558,0,1556,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1558,0,1556,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2004,4-M W.D.,3508,18020104,2188,2187,5700,0,0,0,2188,2187,5700,0,0,0,2188,0,2187,0,5700,0,1,1,,0,0,0,0,0,0,0,0,2188,0,2187,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2005,4-M W.D.,3508,18020104,1548,1554,5700,0,0,0,1548,1554,5700,0,0,0,1548,0,1554,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1548,0,1554,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2006,4-M W.D.,3508,18020104,1945,1950,5700,0,0,0,1945,1950,5700,0,0,0,1945,0,1950,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1945,0,1950,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2007,4-M W.D.,3508,18020104,3106,3095,5700,0,0,0,3106,3095,5700,0,0,0,3106,0,3095,0,5700,0,1,1,,0,0,0,0,0,0,0,0,3106,0,3095,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2008,4-M W.D.,3508,18020104,2263,2300,5700,0,0,0,2263,2300,5700,0,0,0,2263,0,2300,0,5700,0,.40000001,.40000001,,0,0,0,0,0,0,0,0,2263,0,2300,0,5700,0,.40000001,.40000001,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2009,4-M W.D.,3508,18020104,1787,1750,5700,0,0,0,1787,1750,5700,0,0,0,1787,0,1750,0,5700,0,.40000001,.40000001,,0,0,0,0,0,0,0,0,1787,0,1750,0,5700,0,.40000001,.40000001,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2010,4-M W.D.,3508,18020104,2179,2186,5700,0,0,0,2179,2186,5700,0,0,0,2179,0,2186,0,5700,0,1,1,,0,0,0,0,0,0,0,0,2179,0,2186,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2011,4-M W.D.,3508,18020104,1784,1817,5700,0,0,0,1784,1817,5700,0,0,0,1784,0,1817,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1784,0,1817,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2012,4-M W.D.,3508,18020104,1692,1652,5700,0,0,0,1692,1652,5700,0,0,0,1692,0,1652,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1692,0,1652,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2013,4-M W.D.,3508,18020104,2515,2614,5700,0,0,0,2515,2614,5700,0,0,0,2515,0,2614,0,5700,0,.75,.75,,0,0,0,0,0,0,0,0,2515,0,2614,0,5700,0,.75,.75,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2014,4-M W.D.,3508,18020104,952,856,5700,0,0,0,952,856,5700,0,0,0,952,0,856,0,5700,0,0,0,,0,0,0,0,0,0,0,0,952,0,856,0,5700,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2015,4-M W.D.,3508,18020104,700,712,5700,0,0,0,700,712,5700,0,0,0,700,0,712,0,5700,0,0,0,,0,0,0,0,0,0,0,0,700,0,712,0,5700,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2016,4-M W.D.,3508,18020104,1056,1041,5700,0,0,0,1056,1041,5700,0,0,0,1056,0,1041,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1056,0,1041,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2017,4-M W.D.,3508,18020104,1778,1912,5700,0,0,0,1778,1912,5700,0,0,0,1778,0,1912,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1778,0,1912,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2018,4-M W.D.,3508,18020104,1520,1386,5700,0,0,0,1520,1386,5700,0,0,0,1520,0,1386,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1520,0,1386,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2019,4-M W.D.,3508,18020104,1690,1939,5700,0,0,0,1690,1939,5700,0,0,0,1690,0,1939,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1690,0,1939,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2020,4-M W.D.,3508,18020104,2434,2214,5700,0,0,0,2434,2214,5700,0,0,0,2434,0,2214,0,5700,0,.5,.5,,0,0,0,0,0,0,0,0,2434,0,2214,0,5700,0,.5,.5,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2021,4-M W.D.,3508,18020104,1195,1188,5700,0,0,0,1195,1188,5700,0,0,0,1195,0,1188,0,5700,0,0,0,,0,0,0,0,0,0,0,0,1195,0,1188,0,5700,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2022,4-M W.D.,3508,18020104,553,531,5700,0,0,0,553,531,5700,0,0,0,553,0,531,0,5700,0,0,0,,0,0,0,0,0,0,0,0,553,0,531,0,5700,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2023,4-M W.D.,3508,18020104,1767,1767,5700,0,0,0,1767,1767,5700,0,0,0,1767,0,1767,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1767,0,1767,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2024,4-M W.D.,3508,18020104,1810,1810,5700,0,0,0,1810,1810,5700,0,0,0,1810,0,1810,0,5700,0,1,1,,0,0,0,0,0,0,0,0,1810,0,1810,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
2025,4-M W.D.,3508,18020104,,,,,,,1596,1596,5700,0,0,0,,,,,,,,,,,,,,,,,,1596,0,1596,0,5700,0,1,1,0,0,0,0,0,0,0,,,,,,,,,-122.348630459,39.2158007326,71.6770207206,4876.70687662,.64443465325
